epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,22971.1,0.95454,0.50384,0.89204,0.95489,0.96826,0.9769,0.73081,0.98218,0.44649,0.87433,0.002476,0.002476,0.002476
78,23265.8,0.95981,0.50589,0.8897,0.96327,0.96901,0.97875,0.734,0.97819,0.44423,0.87338,0.002377,0.002377,0.002377
79,23560.8,0.93931,0.4966,0.88849,0.96534,0.96894,0.9785,0.73375,0.97649,0.44221,0.87272,0.002278,0.002278,0.002278
80,23855.7,0.93582,0.49145,0.88678,0.96895,0.96819,0.97845,0.73376,0.97255,0.43866,0.87199,0.002179,0.002179,0.002179
81,24150.5,0.92925,0.49058,0.88687,0.96821,0.96454,0.97848,0.73551,0.97001,0.43438,0.87168,0.00208,0.00208,0.00208
82,24445.4,0.92975,0.48584,0.88678,0.97128,0.95894,0.97731,0.73707,0.96788,0.43063,0.87142,0.001981,0.001981,0.001981
83,24740.2,0.92349,0.48402,0.88273,0.97437,0.96126,0.97724,0.73715,0.96555,0.42893,0.87135,0.001882,0.001882,0.001882
84,25034.8,0.91305,0.48312,0.88719,0.97425,0.96173,0.97853,0.73772,0.96126,0.42657,0.87089,0.001783,0.001783,0.001783
85,25329.6,0.90423,0.47124,0.87843,0.97436,0.96002,0.97858,0.73848,0.95912,0.4234,0.87071,0.001684,0.001684,0.001684
86,25624.2,0.89197,0.46381,0.88039,0.97491,0.96112,0.97885,0.73875,0.95629,0.42118,0.8705,0.001585,0.001585,0.001585
87,25918.9,0.87741,0.4582,0.8729,0.97292,0.96478,0.97898,0.73878,0.95349,0.41928,0.87033,0.001486,0.001486,0.001486
88,26213.7,0.87671,0.45482,0.87488,0.97225,0.96603,0.97925,0.74061,0.94969,0.41694,0.86991,0.001387,0.001387,0.001387
89,26508.4,0.87242,0.4518,0.87458,0.97311,0.96878,0.97993,0.74213,0.94743,0.41461,0.86963,0.001288,0.001288,0.001288
90,26803.2,0.85686,0.44299,0.87398,0.97112,0.968,0.97993,0.74274,0.94494,0.41227,0.8693,0.001189,0.001189,0.001189
91,27083.7,0.82606,0.39753,0.854,0.96962,0.96787,0.97831,0.74319,0.94386,0.41161,0.8692,0.00109,0.00109,0.00109
92,27364.1,0.79892,0.38809,0.84949,0.97157,0.96632,0.97791,0.74478,0.94212,0.40878,0.86935,0.000991,0.000991,0.000991
93,27644.6,0.78642,0.38034,0.85115,0.97315,0.96627,0.97817,0.74497,0.94031,0.40787,0.86904,0.000892,0.000892,0.000892
94,27924.9,0.77172,0.37264,0.84607,0.97457,0.96607,0.97819,0.74605,0.93764,0.40749,0.86872,0.000793,0.000793,0.000793
95,28205.1,0.76773,0.3666,0.84288,0.97293,0.96524,0.97827,0.74685,0.93358,0.40492,0.86811,0.000694,0.000694,0.000694
96,28485.3,0.75713,0.36385,0.84133,0.97232,0.96389,0.97833,0.74776,0.93168,0.40311,0.86804,0.000595,0.000595,0.000595
97,28765.8,0.74123,0.35832,0.83775,0.97132,0.96611,0.97832,0.74838,0.92886,0.40282,0.86759,0.000496,0.000496,0.000496
98,29046.1,0.73471,0.35746,0.83628,0.97208,0.96581,0.97829,0.74828,0.92739,0.40102,0.86742,0.000397,0.000397,0.000397
99,29326.1,0.73363,0.34949,0.8361,0.97207,0.96577,0.9783,0.74967,0.92628,0.39994,0.86748,0.000298,0.000298,0.000298
100,29606.9,0.73012,0.35264,0.83636,0.97225,0.96552,0.97773,0.75023,0.92495,0.3991,0.86746,0.000199,0.000199,0.000199
